idade,renda,tipo_moradia,tempo_emprego,finalidade_emp,score_emp,valor_emp,tx_jr_emp,perc_comp_renda,hist_inad,hist_credito,inad
24,200000,ALUGADA,8.0,EDUCACAO,A,10000,8.49,0.05,N,4,0
24,66000,ALUGADA,3.0,EDUCACAO,B,25000,9.91,0.38,N,2,1
22,66000,ALUGADA,6.0,EDUCACAO,C,25000,13.06,0.38,S,3,1
22,200000,FINANCIADA,6.0,RENEGOCIACAO,A,9000,6.17,0.04,N,4,0
144,200000,FINANCIADA,4.0,EDUCACAO,B,6000,11.86,0.03,N,2,0
25,200000,ALUGADA,5.0,EDUCACAO,D,18000,16.32,0.09,N,3,0
25,200000,FINANCIADA,2.0,LAZER,B,12000,10.38,0.06,N,2,0
25,200000,FINANCIADA,9.0,PESSOAL,C,23050,14.35,0.12,N,3,0
26,66996,ALUGADA,10.0,PESSOAL,D,25000,15.21,0.37,S,2,1
23,67000,ALUGADA,3.0,EDUCACAO,A,25000,7.9,0.37,N,4,1
24,67000,ALUGADA,2.0,LAZER,B,25000,10.99,0.37,N,3,1
24,68000,ALUGADA,5.0,PESSOAL,D,25000,14.09,0.37,S,3,1
25,69000,ALUGADA,9.0,PESSOAL,D,25000,17.49,0.36,N,2,1
25,200000,FINANCIADA,0.0,EDUCACAO,B,12000,11.48,0.06,N,3,0
26,188000,FINANCIADA,10.0,LAZER,E,20000,17.74,0.11,N,2,1
26,200000,FINANCIADA,4.0,PESSOAL,C,3000,13.92,0.01,N,3,0
25,69996,ALUGADA,9.0,EDUCACAO,D,25000,15.21,0.36,N,3,1
22,14400,PROPRIA,2.0,SAUDE,B,4000,10.99,0.28,N,3,1
24,70000,ALUGADA,3.0,EDUCACAO,B,25000,11.86,0.36,N,4,1
24,14400,PROPRIA,5.0,PESSOAL,A,6000,7.49,0.42,N,3,1
24,56100,ALUGADA,7.0,SAUDE,D,25000,16.49,0.38,N,4,1
25,66000,ALUGADA,9.0,LAZER,D,25000,15.33,0.38,S,2,1
26,66000,ALUGADA,3.0,REFORMA,B,25000,11.58,0.38,N,4,1
25,14400,PROPRIA,7.0,EDUCACAO,A,5375,5.79,0.37,N,2,1
25,72612,ALUGADA,9.0,SAUDE,C,25000,13.11,0.34,N,2,1
23,74000,ALUGADA,3.0,SAUDE,B,25000,10.36,0.34,N,3,1
25,75000,ALUGADA,9.0,RENEGOCIACAO,B,25000,10.36,0.33,N,2,1
21,192000,FINANCIADA,123.0,LAZER,A,20000,6.54,0.1,N,4,0
25,191000,FINANCIADA,1.0,SAUDE,B,10000,12.53,0.05,N,4,0
24,75000,ALUGADA,4.0,EDUCACAO,B,25000,10.25,0.33,N,4,1
22,71000,ALUGADA,1.0,EDUCACAO,D,25000,15.95,0.35,S,4,1
26,190000,FINANCIADA,3.0,LAZER,B,20000,12.18,0.11,N,4,0
23,189996,PROPRIA,0.0,PESSOAL,B,24000,11.83,0.13,N,3,0
23,78000,ALUGADA,1.0,LAZER,B,25000,10.62,0.32,N,3,1
23,78504,ALUGADA,7.0,LAZER,B,25000,10.74,0.32,N,3,1
25,186000,PROPRIA,9.0,LAZER,B,10000,10.25,0.05,N,4,0
25,185000,ALUGADA,6.0,LAZER,C,15000,15.27,0.08,N,2,0
24,62050,ALUGADA,8.0,SAUDE,D,25000,15.33,0.34,S,2,1
23,79416,ALUGADA,7.0,LAZER,D,25000,15.21,0.31,S,2,1
21,14400,PROPRIA,4.0,LAZER,C,6250,14.72,0.43,N,2,1
24,79631,ALUGADA,8.0,PESSOAL,D,25000,15.7,0.31,S,2,1
24,79632,ALUGADA,0.0,EDUCACAO,C,25000,13.35,0.31,N,4,1
24,80000,ALUGADA,6.0,EDUCACAO,A,25000,6.62,0.31,N,2,1
26,80000,ALUGADA,5.0,RENEGOCIACAO,C,25000,13.61,0.31,N,4,1
22,185000,ALUGADA,4.0,SAUDE,B,25000,11.36,0.14,N,2,0
26,185000,PROPRIA,10.0,PESSOAL,A,5000,7.68,0.03,N,2,0
24,184992,ALUGADA,7.0,REFORMA,D,22000,14.46,0.12,S,4,0
23,184000,PROPRIA,5.0,EDUCACAO,B,2500,11.83,0.01,N,2,0
24,172000,FINANCIADA,6.0,RENEGOCIACAO,C,20000,13.47,0.12,S,4,1
24,183000,FINANCIADA,2.0,SAUDE,B,20000,11.49,0.11,N,3,0
25,182952,FINANCIADA,9.0,PESSOAL,A,15000,6.03,0.08,N,3,0
23,74004,ALUGADA,7.0,RENEGOCIACAO,E,25000,16.35,0.34,N,4,1
25,81000,ALUGADA,5.0,RENEGOCIACAO,A,25000,7.29,0.31,N,3,1
23,81600,ALUGADA,1.0,SAUDE,B,25000,11.36,0.31,N,3,1
24,82000,ALUGADA,8.0,LAZER,B,25000,10.25,0.3,N,2,0
24,83000,ALUGADA,5.0,EDUCACAO,B,25000,11.12,0.3,N,3,0
24,83000,ALUGADA,5.0,PESSOAL,D,25000,12.92,0.3,S,3,0
24,180000,ALUGADA,8.0,EDUCACAO,E,18000,18.64,0.1,S,4,0
23,180000,FINANCIADA,8.0,PESSOAL,A,28000,7.51,0.16,N,3,0
23,14400,PROPRIA,2.0,REFORMA,E,4000,16.7,0.28,N,2,1
22,14400,PROPRIA,0.0,PESSOAL,B,2100,11.14,0.15,N,4,0
22,84500,ALUGADA,6.0,PESSOAL,F,25000,18.3,0.3,N,4,0
24,85000,ALUGADA,5.0,SAUDE,B,25000,10.62,0.29,N,4,0
24,180000,FINANCIADA,7.0,LAZER,B,14000,11.99,0.08,N,2,0
26,180000,FINANCIADA,2.0,LAZER,B,12000,9.63,0.07,N,4,0
25,142800,FINANCIADA,9.0,SAUDE,F,10000,18.25,0.06,N,4,1
24,87000,ALUGADA,8.0,REFORMA,D,25000,14.84,0.29,N,3,0
24,75000,ALUGADA,0.0,LAZER,E,25000,14.7,0.33,S,3,1
23,76000,ALUGADA,7.0,RENEGOCIACAO,D,25000,16.02,0.33,N,4,1
23,66215,ALUGADA,1.0,SAUDE,D,25000,15.37,0.32,S,2,1
25,90000,ALUGADA,9.0,SAUDE,B,25000,10.99,0.28,N,4,0
21,15000,PROPRIA,0.0,REFORMA,A,6200,7.9,0.41,N,2,1
26,180000,PROPRIA,2.0,PESSOAL,B,25000,10.99,0.14,N,4,0
24,180000,PROPRIA,8.0,EDUCACAO,B,21000,11.48,0.12,N,3,0
25,180000,PROPRIA,9.0,SAUDE,C,20000,14.26,0.11,S,4,0
26,180000,PROPRIA,0.0,REFORMA,A,10000,8.0,0.06,N,4,0
25,180000,FINANCIADA,3.0,LAZER,B,9950,11.26,0.06,N,2,0
23,78000,ALUGADA,2.0,LAZER,D,25000,16.32,0.32,S,3,1
25,66300,ALUGADA,3.0,SAUDE,E,25000,17.93,0.32,S,4,1
23,90000,ALUGADA,0.0,RENEGOCIACAO,B,25000,11.36,0.28,N,3,0
24,79000,ALUGADA,9.0,RENEGOCIACAO,D,25000,14.96,0.32,S,4,1
24,91800,ALUGADA,4.0,PESSOAL,C,25000,13.43,0.27,S,3,0
25,92000,ALUGADA,6.0,REFORMA,B,25000,12.69,0.27,N,3,0
24,92000,ALUGADA,1.0,LAZER,C,25000,12.73,0.27,S,4,0
23,93600,ALUGADA,3.0,LAZER,D,25000,15.21,0.27,N,4,0
23,15000,FINANCIADA,1.0,SAUDE,C,1750,12.68,0.12,S,3,0
23,70550,ALUGADA,3.0,SAUDE,F,25000,19.04,0.3,S,4,1
25,83800,ALUGADA,2.0,RENEGOCIACAO,D,25000,15.95,0.3,S,3,1
26,175000,FINANCIADA,3.0,LAZER,A,2600,8.9,0.01,N,4,0
25,175000,FINANCIADA,10.0,REFORMA,A,8000,7.9,0.05,N,2,0
23,175000,FINANCIADA,8.0,PESSOAL,B,21000,11.99,0.12,N,3,0
23,15000,PROPRIA,4.0,RENEGOCIACAO,C,4000,13.98,0.27,N,4,1
23,15000,PROPRIA,4.0,LAZER,B,4600,10.99,0.31,N,2,1
22,88000,ALUGADA,6.0,RENEGOCIACAO,D,25000,15.58,0.28,S,2,1
25,74800,ALUGADA,2.0,SAUDE,B,25000,10.99,0.28,N,2,1
25,88000,ALUGADA,0.0,LAZER,D,25000,14.96,0.28,N,4,1
25,15000,PROPRIA,2.0,REFORMA,D,1750,15.31,0.12,S,4,0
26,88000,ALUGADA,2.0,LAZER,D,25000,15.65,0.28,N,3,1
25,100000,ALUGADA,1.0,LAZER,B,25000,9.33,0.25,N,4,0
23,15000,FINANCIADA,0.0,PESSOAL,C,3600,13.47,0.24,N,4,1
24,102400,ALUGADA,8.0,PESSOAL,B,25000,10.36,0.24,N,3,0
24,92000,ALUGADA,1.0,REFORMA,E,25000,16.77,0.27,S,4,1
23,93000,ALUGADA,0.0,RENEGOCIACAO,D,25000,14.59,0.27,S,2,1
22,175000,ALUGADA,6.0,LAZER,C,3500,11.91,0.02,S,2,0
23,175000,FINANCIADA,3.0,EDUCACAO,A,7200,8.38,0.04,N,3,0
25,174708,ALUGADA,9.0,LAZER,B,9000,10.59,0.05,N,3,0
25,174000,FINANCIADA,2.0,RENEGOCIACAO,C,8800,14.27,0.05,N,3,0
26,174000,ALUGADA,8.0,RENEGOCIACAO,B,12000,12.53,0.07,N,4,0
25,162000,FINANCIADA,5.0,RENEGOCIACAO,E,25000,16.0,0.15,S,3,1
26,173467,FINANCIADA,10.0,LAZER,B,10000,11.71,0.06,N,4,0
21,15000,PROPRIA,0.0,REFORMA,C,3175,11.54,0.21,S,3,1
25,96000,ALUGADA,2.0,REFORMA,E,25000,15.68,0.26,S,4,1
21,15120,FINANCIADA,0.0,EDUCACAO,B,1500,10.59,0.1,N,2,0
24,97908,ALUGADA,8.0,REFORMA,D,25000,12.61,0.26,S,2,1
23,15204,FINANCIADA,7.0,PESSOAL,A,2800,8.49,0.18,N,3,1
25,159600,ALUGADA,0.0,PESSOAL,D,30000,17.27,0.19,S,4,1
24,171500,ALUGADA,6.0,RENEGOCIACAO,A,18000,8.9,0.1,N,4,0
25,170004,FINANCIADA,3.0,SAUDE,B,10000,11.11,0.06,N,4,0
24,158004,ALUGADA,0.0,REFORMA,D,25000,14.59,0.16,S,2,1
26,170000,ALUGADA,0.0,LAZER,B,13000,12.42,0.08,N,3,0
24,110000,ALUGADA,7.0,REFORMA,D,25000,15.7,0.23,S,2,0
22,15360,PROPRIA,7.0,REFORMA,B,2500,12.53,0.16,N,3,1
25,134300,ALUGADA,3.0,SAUDE,D,5000,16.49,0.03,N,2,1
25,170000,FINANCIADA,2.0,EDUCACAO,A,20000,7.49,0.12,N,2,0
22,100580,ALUGADA,6.0,RENEGOCIACAO,D,25000,14.96,0.25,S,2,1
25,113000,ALUGADA,7.0,SAUDE,C,25000,12.73,0.22,S,4,0
24,120000,ALUGADA,8.0,EDUCACAO,B,25000,10.65,0.21,N,4,0
25,120000,ALUGADA,6.0,SAUDE,B,25000,10.74,0.21,N,2,0
23,120000,ALUGADA,7.0,EDUCACAO,B,25000,9.99,0.21,N,2,0
24,91800,ALUGADA,5.0,SAUDE,D,25000,15.33,0.23,S,2,1
21,15600,PROPRIA,5.0,LAZER,A,1000,7.29,0.06,N,4,0
26,108000,ALUGADA,2.0,PESSOAL,D,25000,15.05,0.23,N,3,1
26,129996,ALUGADA,6.0,PESSOAL,B,25000,10.75,0.19,N,3,0
23,130000,ALUGADA,4.0,EDUCACAO,D,25000,16.02,0.19,S,2,0
23,130000,ALUGADA,7.0,LAZER,B,25000,11.49,0.19,N,4,0
25,170000,PROPRIA,4.0,EDUCACAO,B,20000,12.53,0.12,N,4,0
26,170000,FINANCIADA,0.0,LAZER,C,12000,13.57,0.07,S,2,0
22,169000,ALUGADA,1.0,PESSOAL,B,14000,11.14,0.08,N,3,0
26,168750,ALUGADA,10.0,SAUDE,C,24250,12.87,0.14,S,3,0
23,168600,ALUGADA,3.0,EDUCACAO,B,20000,11.58,0.12,N,3,0
24,168288,ALUGADA,5.0,REFORMA,B,1800,11.12,0.01,N,3,0
25,168000,FINANCIADA,2.0,PESSOAL,B,35000,10.65,0.21,N,2,0
24,133300,ALUGADA,6.0,RENEGOCIACAO,B,25000,10.37,0.19,N,2,0
24,15600,PROPRIA,5.0,REFORMA,A,3300,6.39,0.21,N,4,1
24,134000,ALUGADA,8.0,PESSOAL,D,25000,16.07,0.19,S,3,0
25,134000,ALUGADA,7.0,SAUDE,B,25000,10.62,0.19,N,2,0
25,15600,PROPRIA,0.0,LAZER,F,3200,18.09,0.21,N,2,1
25,135000,ALUGADA,5.0,EDUCACAO,B,25000,11.36,0.19,N,4,0
26,135660,ALUGADA,10.0,RENEGOCIACAO,B,25000,12.53,0.18,N,4,0
25,145000,ALUGADA,0.0,EDUCACAO,B,25000,9.99,0.17,N,4,0
23,150000,ALUGADA,4.0,EDUCACAO,B,25000,10.36,0.17,N,3,0
23,165000,FINANCIADA,3.0,EDUCACAO,A,9600,5.99,0.06,N,3,0
22,153000,FINANCIADA,5.0,RENEGOCIACAO,D,24000,15.62,0.16,S,2,1
24,165000,FINANCIADA,5.0,PESSOAL,B,20000,10.37,0.12,N,4,0
25,165000,FINANCIADA,0.0,REFORMA,F,25000,19.74,0.15,N,4,0
21,165000,FINANCIADA,5.0,EDUCACAO,A,20000,6.91,0.12,N,4,0
23,16000,PROPRIA,7.0,SAUDE,A,6000,7.9,0.38,N,2,1
23,16000,FINANCIADA,3.0,RENEGOCIACAO,C,2275,13.06,0.14,S,4,0
23,16000,PROPRIA,7.0,PESSOAL,A,2000,6.39,0.13,N,3,0
23,148000,ALUGADA,1.0,RENEGOCIACAO,E,25000,14.93,0.17,N,3,1
23,16000,FINANCIADA,1.0,SAUDE,C,5600,12.84,0.35,N,4,1
24,16020,PROPRIA,3.0,LAZER,E,3625,17.14,0.23,S,2,1
22,16094,FINANCIADA,2.0,LAZER,A,5500,7.14,0.34,N,3,1
25,175000,ALUGADA,2.0,PESSOAL,A,25000,8.9,0.14,N,2,0
22,16200,PROPRIA,6.0,PESSOAL,B,2000,12.42,0.12,N,3,0
24,185000,ALUGADA,7.0,REFORMA,C,25000,12.68,0.14,S,2,0
25,162000,ALUGADA,9.0,PESSOAL,C,25000,11.03,0.15,N,2,0
